,State_Census_2007,White_Census_2007,Hispanic_Census_2007,Black_Census_2007,American Indian/Alaska Native_Census_2007,Asian+_Census_2007,Native Hawaiian/Other Pacific Islander_Census_2007,Two Or More Races_Census_2007,Male_Census_2007,Female_Census_2007,Unemployed_Census_2007,Employed,Children 0-18_Census_2007,Adults 19-25_Census_2007,Adults 26-34_Census_2007,Adults 35-54_Census_2007,Adults 55-64_Census_2007,65+_Census_2007,Population_Census_2007
0,United States,193573200.0,35033200.0,45753600.0,1919700.0,12947100.0,384400.0,5658400.0,0.49,0.51,25556400.0,258069500.0,76770400.0,27241500.0,34823900.0,85799700.0,33433900.0,37200300.0,301231207.0
1,Alabama,3108700.0,1169700.0,124800.0,22200.0,43900.0,,56600.0,0.48,0.52,551500.0,3914500.0,1168700.0,429900.0,509400.0,1274800.0,531800.0,612400.0,4672840.0
2,Alaska,433100.0,18700.0,34600.0,86900.0,30400.0,5600.0,45300.0,0.51,0.49,59000.0,606600.0,184700.0,74100.0,79700.0,189300.0,78700.0,48100.0,680300.0
3,Arizona,3704300.0,214500.0,1922100.0,261200.0,148600.0,6300.0,106000.0,0.5,0.5,569200.0,5512100.0,1776500.0,572900.0,801300.0,1691800.0,669500.0,850900.0,6167681.0
4,Arkansas,2096900.0,422400.0,152500.0,15900.0,29100.0,1800.0,51200.0,0.49,0.51,321300.0,2379500.0,727200.0,250300.0,314800.0,763200.0,324000.0,390200.0,2848650.0
5,California,15080500.0,2071300.0,13174300.0,150200.0,4396000.0,122600.0,887200.0,0.5,0.5,2992500.0,31874400.0,9749000.0,3619900.0,4515600.0,10346900.0,3643000.0,4007600.0,36250311.0
6,Colorado,3422900.0,160700.0,967900.0,30400.0,126000.0,4500.0,104400.0,0.5,0.5,333600.0,4319900.0,1249600.0,449500.0,636000.0,1442600.0,542100.0,496800.0,4803868.0
7,Connecticut,2498400.0,298400.0,410400.0,6000.0,113300.0,,56400.0,0.49,0.51,220600.0,2931300.0,842100.0,278400.0,346300.0,1060800.0,403800.0,452500.0,3527270.0
8,Delaware,571900.0,168500.0,60800.0,2800.0,24200.0,,16100.0,0.48,0.52,70300.0,729600.0,216800.0,76300.0,91700.0,242800.0,102100.0,114600.0,871749.0
9,District of Columbia,176700.0,301800.0,48800.0,1700.0,17600.0,,11600.0,0.47,0.53,80900.0,492900.0,117000.0,62300.0,90200.0,159200.0,64300.0,66000.0,574404.0
10,Florida,10772300.0,2598100.0,3771200.0,35500.0,410100.0,6300.0,280600.0,0.49,0.51,1582300.0,14770300.0,4172400.0,1527100.0,1927000.0,5022200.0,2121600.0,3104000.0,18367842.0
11,Georgia,5466500.0,2726500.0,761300.0,15000.0,267000.0,,136800.0,0.49,0.51,900000.0,8429500.0,2634700.0,853400.0,1158000.0,2789300.0,994100.0,946900.0,9349988.0
12,Hawaii,290100.0,23800.0,100400.0,1600.0,474400.0,104400.0,234400.0,0.49,0.51,114000.0,1042700.0,296200.0,117400.0,134000.0,347800.0,147400.0,186300.0,1315675.0
13,Idaho,1259500.0,8400.0,154600.0,13600.0,16200.0,,30700.0,0.5,0.5,108900.0,1314300.0,428400.0,142700.0,180100.0,396700.0,166500.0,170000.0,1505105.0
14,Illinois,8094900.0,1775900.0,1931100.0,13500.0,549700.0,,189600.0,0.49,0.51,979300.0,11053800.0,3313600.0,1190900.0,1538400.0,3655400.0,1355500.0,1502200.0,12695866.0
15,Indiana,5143900.0,515100.0,314100.0,12900.0,82900.0,,101900.0,0.49,0.51,553700.0,5403200.0,1631500.0,532800.0,739300.0,1797900.0,701700.0,769700.0,6379599.0
