,State_Census_2007,White_Census_2007,Hispanic_Census_2007,Black_Census_2007,American Indian/Alaska Native_Census_2007,Asian+_Census_2007,Native Hawaiian/Other Pacific Islander_Census_2007,Two Or More Races_Census_2007,Male_Census_2007,Female_Census_2007,Unemployed_Census_2007,Employed,Children 0-18_Census_2007,Adults 19-25_Census_2007,Adults 26-34_Census_2007,Adults 35-54_Census_2007,Adults 55-64_Census_2007,65+_Census_2007,Population_Census_2007
16,Iowa,2609000.0,77500.0,118700.0,4300.0,43700.0,,39000.0,0.49,0.51,151700.0,2483000.0,727200.0,279600.0,311300.0,824500.0,340300.0,411000.0,2999212.0
17,Kansas,2172500.0,140800.0,259600.0,15900.0,56000.0,,55200.0,0.49,0.51,169200.0,2354500.0,715000.0,262700.0,316700.0,757100.0,303100.0,346900.0,2783785.0
18,Kentucky,3649900.0,296600.0,95900.0,5100.0,40600.0,,54800.0,0.49,0.52,576500.0,3608400.0,1038900.0,348600.0,492200.0,1229700.0,498900.0,535200.0,4256672.0
19,Louisiana,2658000.0,1335400.0,146100.0,21300.0,62200.0,,50200.0,0.48,0.52,480200.0,3762400.0,1151300.0,432300.0,489200.0,1194900.0,494600.0,511400.0,4375581.0
20,Maine,1215200.0,9700.0,12000.0,6100.0,9200.0,,21500.0,0.48,0.52,121800.0,1081900.0,283600.0,95500.0,126800.0,403500.0,172600.0,192200.0,1327040.0
21,Maryland,3143000.0,1555700.0,365200.0,11400.0,276100.0,,117700.0,0.48,0.52,336900.0,4810200.0,1391500.0,497500.0,618300.0,1668900.0,634000.0,659700.0,5653408.0
22,Massachusetts,4932400.0,350600.0,536700.0,9800.0,302800.0,,132300.0,0.49,0.51,466600.0,5459000.0,1491100.0,566900.0,726200.0,1933600.0,741200.0,806000.0,6431559.0
23,Michigan,7594800.0,1317400.0,396100.0,45900.0,217500.0,2400.0,190400.0,0.49,0.51,1076400.0,8516400.0,2505200.0,882400.0,1078700.0,2888600.0,1161400.0,1248100.0,10001284.0
24,Minnesota,4326700.0,233700.0,212800.0,50000.0,176900.0,,84100.0,0.5,0.5,296200.0,4479300.0,1297300.0,473900.0,598900.0,1528500.0,580700.0,605200.0,5207203.0
25,Mississippi,1661000.0,1054600.0,51400.0,11800.0,22400.0,,25100.0,0.48,0.52,365800.0,2479400.0,793800.0,267900.0,315900.0,784100.0,317800.0,347400.0,2928350.0
26,Missouri,4729200.0,618900.0,175800.0,18100.0,80300.0,,102300.0,0.49,0.51,504300.0,4969000.0,1459600.0,530500.0,667800.0,1643600.0,667500.0,759200.0,5887612.0
27,Montana,824400.0,2900.0,29600.0,58000.0,4800.0,,18300.0,0.49,0.51,72700.0,810000.0,240200.0,89300.0,99800.0,261500.0,119200.0,128400.0,964706.0
28,Nebraska,1442000.0,70500.0,143400.0,10100.0,30300.0,,24400.0,0.5,0.51,80000.0,1500300.0,468000.0,158800.0,203800.0,479100.0,190600.0,220700.0,1783440.0
29,Nevada,1447500.0,181000.0,664100.0,28400.0,153500.0,10900.0,71400.0,0.51,0.49,198400.0,2262900.0,691300.0,216400.0,328100.0,737000.0,290000.0,293900.0,2601072.0
30,New Hampshire,1185300.0,8000.0,37700.0,,26100.0,,15600.0,0.49,0.51,69600.0,1117400.0,302500.0,102300.0,134800.0,413300.0,164600.0,157900.0,1312540.0
31,New Jersey,5240200.0,1085700.0,1399200.0,10200.0,633500.0,,125100.0,0.49,0.51,550100.0,7398600.0,2137300.0,722400.0,938200.0,2639000.0,961700.0,1096000.0,8677885.0
32,New Mexico,803100.0,36000.0,876200.0,162700.0,24700.0,,30800.0,0.49,0.51,199000.0,1679200.0,523300.0,187700.0,225100.0,521300.0,221800.0,254800.0,1990070.0
33,New York,11360200.0,2748600.0,3154900.0,50500.0,1299800.0,6100.0,323800.0,0.48,0.52,1645400.0,16459000.0,4600800.0,1805700.0,2199300.0,5657400.0,2195800.0,2485000.0,19132335.0
34,North Carolina,5975700.0,1853900.0,657500.0,87100.0,166600.0,2700.0,142700.0,0.48,0.52,872200.0,7793300.0,2318000.0,757500.0,1052800.0,2622200.0,1042700.0,1093000.0,9118037.0
35,North Dakota,550200.0,4200.0,12600.0,33000.0,,,6900.0,0.5,0.5,35800.0,526500.0,143400.0,73300.0,70100.0,161700.0,78000.0,83800.0,652822.0
36,Ohio,9210900.0,1276300.0,285400.0,19500.0,176500.0,,188100.0,0.49,0.51,1054500.0,9662200.0,2834800.0,972400.0,1271300.0,3255800.0,1327800.0,1495300.0,11500468.0
37,Oklahoma,2507300.0,238200.0,267200.0,214200.0,59200.0,3800.0,219000.0,0.49,0.51,333600.0,3043900.0,938700.0,334100.0,419400.0,947700.0,403900.0,464900.0,3634349.0
38,Oregon,2963100.0,63000.0,408300.0,34800.0,124100.0,8400.0,110200.0,0.5,0.51,311000.0,3222100.0,902900.0,333100.0,460300.0,1057200.0,468700.0,489800.0,3722417.0
39,Pennsylvania,9799700.0,1176300.0,566700.0,13100.0,286700.0,,157100.0,0.49,0.52,1033200.0,10212200.0,2854800.0,1027600.0,1262900.0,3586200.0,1480700.0,1790500.0,12563937.0
40,Rhode Island,793100.0,47200.0,115500.0,3200.0,29100.0,,21000.0,0.48,0.52,91500.0,869400.0,233300.0,98500.0,108400.0,309400.0,119800.0,140000.0,1057315.0
41,South Carolina,2819300.0,1205500.0,167900.0,9600.0,45400.0,,69400.0,0.48,0.52,512700.0,3744400.0,1105000.0,385400.0,480700.0,1232800.0,540500.0,574000.0,4444110.0
42,South Dakota,662700.0,6700.0,21300.0,59300.0,5000.0,,14900.0,0.5,0.5,53400.0,661700.0,208800.0,65500.0,81600.0,217200.0,88600.0,108200.0,791623.0
43,Tennessee,4662800.0,970400.0,228400.0,13600.0,77300.0,,89100.0,0.49,0.52,589800.0,5264300.0,1516800.0,518200.0,721300.0,1775000.0,733100.0,781000.0,6175727.0
44,Texas,11213000.0,2591500.0,8626100.0,68800.0,819300.0,16000.0,308200.0,0.5,0.51,1935200.0,21274000.0,6989400.0,2290300.0,3017100.0,6634500.0,2342700.0,2369000.0,23831983.0
45,Utah,2202100.0,25800.0,317800.0,24900.0,51600.0,21500.0,43000.0,0.5,0.5,145900.0,2447300.0,884200.0,329200.0,378800.0,631800.0,223200.0,239500.0,2597746.0
46,Vermont,569600.0,3400.0,6200.0,,,,13100.0,0.49,0.51,41100.0,515800.0,132700.0,50100.0,60900.0,191000.0,81000.0,83400.0,623481.0
47,Washington,4795600.0,204900.0,625000.0,79800.0,417500.0,23800.0,223900.0,0.5,0.51,534800.0,5610000.0,1607700.0,551100.0,782300.0,1896300.0,772500.0,760600.0,6461587.0
48,West Virginia,1654600.0,55000.0,20100.0,2400.0,8100.0,,24700.0,0.49,0.51,235700.0,1494700.0,391400.0,148600.0,196900.0,514100.0,243700.0,270500.0,1834052.0
49,Wisconsin,4658700.0,295500.0,277500.0,37000.0,117700.0,,80500.0,0.5,0.51,359100.0,4756700.0,1356900.0,501700.0,618700.0,1632800.0,646500.0,710800.0,5610775.0
50,Wyoming,446500.0,4500.0,41600.0,8900.0,2900.0,,11700.0,0.5,0.5,29800.0,452700.0,134900.0,48500.0,59600.0,146700.0,62900.0,63400.0,534876.0
51,Puerto Rico,27400.0,4400.0,3865800.0,,,,,0.48,0.52,1007400.0,3370600.0,1030200.0,392200.0,477800.0,1026300.0,444100.0,531400.0,3782995.0
